アメダス観測所番号,地上観測所観測所番号,観測所名_漢字名,観測所名_ローマ字名
48621,-,伊那,INA
48681,-,宮田高原,MIYADA-KOGEN
48691,-,杉島,SUGISHIMA
48716,-,須原,SUHARA
48717,-,南木曽,NAGISO
48731,-,飯島,IIJIMA
48737,-,大鹿,OSHIKA
48767,47637,飯田,IIDA
48826,-,浪合,NAMIAI
48836,-,阿南,ANAN
48841,-,南信濃,MINAMISHINANO
49036,-,大泉,OIZUMI
49052,-,乙女湖,OTOMEKO
49086,-,韮崎,NIRASAKI
49142,47638,甲府,KOFU
49151,-,勝沼,KATSUNUMA
49161,-,大月,OTSUKI
49172,-,上野原,UENOHARA
49187,-,富士川,FUJIKAWA
49196,-,古関,KAMIKUISHIKI
49236,-,切石,NAKATOMI
49251,47640,河口湖,KAWAGUCHI-KO
49256,-,山中,YAMANAKA
49316,-,南部,NAMBU
50056,-,白糸,SHIRAITO
50106,-,井川,IKAWA
50112,-,有東木,UTOUGI
50136,-,御殿場,GOTEMBA
50196,-,富士,YOSHIWARA
50206,47657,三島,MISHIMA
50211,-,熱海伊豆山,ATAMIIZUSAN
50226,-,佐久間,SAKUMA
50232,-,春野,HARUNO
50241,-,川根本町,HONKAWANE
50247,-,鍵穴,KAGIANA
50261,-,清水,SHIMIZU
50281,47668,網代,AJIRO
50296,-,熊,KUMA
50317,-,高根山,TAKANESAN
50331,47656,静岡,SHIZUOKA
50371,-,三ヶ日,MIKKABI
50386,-,天竜,TENRYU
50391,-,三倉,MIKURA
50416,-,土肥,TOI
50426,-,湯ケ島,YUGASHIMA
50427,-,天城山,AMAGISAN
50456,47654,浜松,HAMAMATSU
50466,-,掛川,KAKEGAWA
50476,-,菊川牧之原,MAKINOHARA
50477,-,静岡空港,SHIZUOKA-KUKO
50491,-,松崎,MATSUZAKI
50506,-,稲取,INATORI
50536,-,磐田,FUKUDE
50551,47655,御前崎,OMAEZAKI
50561,47666,石廊崎,IROZAKI
51011,-,一宮,ICHINOMIYA
51031,-,愛西,HACHIKAI
51056,-,小原,OBARA
51071,-,稲武,INABU
51077,-,茶臼山,CHAUSUYAMA
51096,-,蟹江,KANIE
51106,47636,名古屋,NAGOYA
51116,-,豊田,TOYOTA
51192,-,阿蔵,AZO
51216,-,大府,OBU
51226,-,岡崎,OKAZAKI
51241,-,作手,TSUKUDE
51247,-,新城,SHINSHIRO
51261,-,セントレア,SENTOREA
51271,-,一色,NISHIO
51281,-,蒲郡,GAMAGOORI
51311,-,南知多,MINAMICHITA
51331,-,豊橋,TOYOHASHI
51346,47653,伊良湖,IRAKO
51356,-,田原,TAHARA
52041,-,河合,KAWAI
52051,-,神岡,KAMIOKA
52081,-,白川,SHIRAKAWA
52111,-,栃尾,TOCHIO
52131,-,御母衣,MIBORO
52137,-,清見,KIYOMI
52146,47617,高山,TAKAYAMA
52152,-,丹生川,NYUKAWA
52173,-,ひるがの,HIRUGANO
52181,-,六厩,MUMAI
52192,-,船山,FUNAYAMA
52196,-,宮之前,MIYANOMAE
52221,-,長滝,NAGATAKI
52286,-,萩原,HAGIWARA
52321,-,関市板取,SEKISHIITADORI
52331,-,八幡,HACHIMAN
52346,-,宮地,MIYAJI
52381,-,樽見,TARUMI
52406,-,金山,KANAYAMA
52421,-,付知,TSUKECHI
52461,-,美濃,MINO
52476,-,伽藍,GARAN
52482,-,黒川,KUROKAWA
52511,-,揖斐川,IBIGAWA
52536,-,美濃加茂,MINOKAMO
52556,-,恵那,ENA
52557,-,中津川,NAKATSUGAWA
52571,-,関ケ原,SEKIGAHARA
52581,-,大垣,OGAKI
52586,47632,岐阜,GIFU
52606,-,多治見,TAJIMI
52642,-,上石津,KAMIISHIZU
53016,-,北勢,AGEKI
53041,-,桑名,KUWANA
53061,47684,四日市,YOKKAICHI
53091,-,亀山,KAMEYAMA
53112,47649,上野,UENO
53121,-,笠取山,KASATORIYAMA
53133,47651,津,TSU
53133,47651,津,TSU
53141,-,名張,NABARI
53151,-,白山,HAKUSAN
53196,-,小俣,OBATA
53231,-,粥見,KAYUMI
53257,-,鳥羽,TOBA
53287,-,藤坂峠,FUJISAKATOGE
53296,-,南伊勢,NANSEI
53307,-,阿児,AGO
53321,-,宮川,MIYAGAWA
53326,-,紀伊長島,KII-NAGASHIMA
53378,47663,尾鷲,OWASE
53401,-,熊野新鹿,KUMANOATASHIKA
53416,-,御浜,MIHAMA
54012,-,粟島,AWASHIMA
54041,-,弾崎,HAGIKIZAKI
54056,-,高根,TAKANE
54086,-,村上,MURAKAMI
54097,-,三面,MIOMOTE
54157,47602,相川,AIKAWA
54166,-,両津,RYOTSU
54181,-,中条,NAKAJO
54191,-,下関,SHIMOSEKI
54232,47604,新潟,NIIGATA
54232,47604,新潟,NIIGATA
54236,-,松浜,MATSUHAMA
54271,-,羽茂,HAMOCHI
54296,-,新津,NIITSU
54301,-,瓢湖,HYOKO
54311,-,赤谷,AKADANI
54341,-,巻,MAKI
54387,-,寺泊,TERADOMARI
54396,-,三条,SANJO
54406,-,村松,MURAMATSU
54421,-,津川,TSUGAWA
54462,-,宮寄上,MIYAYORIKAMI
54472,-,室谷,MUROYA
54501,-,長岡,NAGAOKA
54506,-,栃尾,TOCHIO
54541,-,柏崎,KASHIWAZAKI
54566,-,守門,IRIHIROSE
54586,-,大潟,OGATA
54606,-,小国,OGUNI
54616,-,小出,KOIDE
54621,-,大湯,OYU
54651,47612,高田,TAKADA
54661,-,安塚,YASUZUKA
54666,-,川谷,KAWADANI
54671,-,松代,MATSUDAI
54676,-,十日町,TOKAMACHI
54711,-,糸魚川,ITOIGAWA
54721,-,能生,NO
54737,-,筒方,DOGATA
54761,-,塩沢,SHIOZAWA
54816,-,関山,SEKIYAMA
54836,-,津南,TSUNAN
54841,-,湯沢,YUZAWA
54876,-,平岩,HIRAIWA
54892,-,樽本,TARUMOTO
55022,-,朝日,ASAHI
55041,-,氷見,HIMI
55056,-,魚津,UOZU
55063,-,宇奈月,UNAZUKI
55091,47606,伏木,FUSHIKI
55102,47607,富山,TOYAMA
55141,-,砺波,TONAMI
55151,-,秋ヶ島,AKIGASHIMA
55156,-,大山,OYAMA
55166,-,上市,KAMIICHI
55191,-,南砺高宮,FUKUMITSU
55206,-,八尾,YATSUO
55217,-,立山芦峅,TATEYAMAASHIKURA
55252,-,五箇山,GOKAYAMA
55267,-,猪谷,
56036,-,珠洲,SUZU
56052,47600,輪島,WAJIMA
56081,-,門前,MONZEN
56093,-,三井,MII
56116,-,志賀,TOGI
56146,-,七尾,NANAODAINI
56176,-,羽咋,HAKUI
56186,-,かほく,UNOKE
56192,-,宝達志水,OSHIMIZU
56227,47605,金沢,KANAZAWA
56232,-,医王山,IOZEN
56276,-,小松,KOMATSU
56286,-,白山河内,TORIGOE
56301,-,加賀中津原,YAMANAKA
56346,-,白山白峰,SHIRAMINE
56401,-,舳倉島,HEGURAJIMA
